Unnamed: 0,words,counts
0,the,43888
1,a,36648
2,of,20902
3,to,12630
4,in,9575
5,for,8084
6,and,7745
7,following,7225
8,given,7141
9,sentence,7020
10,an,6420
11,that,5637
12,is,5551
13,generate,5022
14,list,4121
15,create,4111
16,what,3820
17,with,3585
18,describe,3536
19,write,3274
20,two,2980
21,about,2973
22,this,2711
23,explain,2709
24,it,2517
25,how,2469
26,name,2365
27,words,2317
28,on,2258
29,three,2208
30,using,2083
31,you,2048
32,are,2021
33,find,1875
34,identify,1869
35,from,1843
36,make,1728
37,or,1724
38,word,1721
39,can,1659
40,5,1659
41,story,1647
42,be,1575
43,3,1544
44,five,1508
45,one,1475
46,text,1456
47,into,1438
48,between,1403
49,rewrite,1390
50,as,1382
51,s,1321
52,provide,1307
53,example,1304
54,suggest,1251
55,new,1222
56,up,1184
57,by,1133
58,classify,1131
59,why,1121
60,give,1097
61,article,1064
62,more,1015
63,statement,1011
